Date,Price,Open,High,Low,Vol.,Change %,,459.25%,-398.54%,,,,,
2/2/2024,187.91,185.04,188.69,182,110.61M,-0.50%,2.41%,0.00%,-0.50%,,,,,2.41%
2/1/2024,188.86,188.5,189.88,184.28,90.68M,0.84%,2.40%,0.84%,0.00%,,,,,2.40%
1/31/2024,187.29,186.99,193.97,185.85,102.27M,-2.24%,2.38%,0.00%,-2.24%,,,,,2.38%
1/30/2024,191.59,195.33,196.36,190.61,105.54M,0.35%,2.38%,0.35%,0.00%,,,,,2.38%
1/29/2024,190.93,185.63,191.48,183.67,123.60M,4.19%,2.29%,4.19%,0.00%,,,,,2.29%
1/26/2024,183.25,185.5,186.78,182.1,107.34M,0.34%,2.28%,0.34%,0.00%,,,,,2.28%
1/25/2024,182.63,189.7,193,180.06,198.08M,-12.13%,2.25%,0.00%,-12.13%,,,,,2.25%
1/24/2024,207.83,211.88,212.73,206.77,112.94M,-0.63%,2.23%,0.00%,-0.63%,,,,,2.23%
1/23/2024,209.14,211.3,215.65,207.75,105.84M,0.16%,2.22%,0.16%,0.00%,,,,,2.22%
1/22/2024,208.8,212.26,217.8,206.27,117.95M,-1.60%,2.22%,0.00%,-1.60%,,,,,2.22%
1/19/2024,212.19,209.99,213.19,207.56,102.26M,0.15%,2.17%,0.15%,0.00%,,,,,2.17%
1/18/2024,211.88,216.88,217.45,208.74,107.81M,-1.70%,2.12%,0.00%,-1.70%,,,,,2.12%
1/17/2024,215.55,214.86,215.67,212.01,102.58M,-1.98%,2.10%,0.00%,-1.98%,,,,,2.10%
1/16/2024,219.91,215.1,223.49,212.18,114.85M,0.47%,2.09%,0.47%,0.00%,,,,,2.09%
1/12/2024,218.89,220.08,225.34,217.15,123.04M,-3.67%,2.05%,0.00%,-3.67%,,,,,2.05%
1/11/2024,227.22,230.57,230.93,225.37,105.87M,-2.87%,2.04%,0.00%,-2.87%,,,,,2.04%
1/10/2024,233.94,235.1,235.5,231.29,91.32M,-0.43%,2.04%,0.00%,-0.43%,,,,,2.04%
1/9/2024,234.96,238.11,238.96,232.04,96.71M,-2.28%,2.00%,0.00%,-2.28%,,,,,2.00%
1/8/2024,240.45,236.14,241.25,235.3,85.17M,1.25%,1.98%,1.25%,0.00%,,,,,1.98%
1/5/2024,237.49,236.86,240.12,234.9,92.49M,-0.18%,1.88%,0.00%,-0.18%,,,,,1.88%
1/4/2024,237.93,239.25,242.7,237.73,102.23M,-0.22%,1.85%,0.00%,-0.22%,,,,,1.85%
1/3/2024,238.45,244.98,245.68,236.32,120.51M,-4.01%,1.84%,0.00%,-4.01%,,,,,1.84%
1/2/2024,248.42,250.08,251.25,244.41,104.07M,-0.02%,1.81%,0.00%,-0.02%,,,,,1.81%
12/29/2023,248.48,255.1,255.19,247.43,100.89M,-1.86%,1.77%,0.00%,-1.86%,,,,,1.77%
12/28/2023,253.18,263.66,265.13,252.71,112.53M,-3.16%,1.76%,0.00%,-3.16%,,,,,1.76%
12/27/2023,261.44,258.35,263.34,257.52,105.86M,1.88%,1.76%,1.88%,0.00%,,,,,1.76%
12/26/2023,256.61,254.49,257.97,252.91,86.64M,1.61%,1.75%,1.61%,0.00%,,,,,1.75%
12/22/2023,252.54,256.76,258.22,251.37,93.37M,-0.77%,1.74%,0.00%,-0.77%,,,,,1.74%
12/21/2023,254.5,251.9,254.8,248.55,108.96M,2.98%,1.73%,2.98%,0.00%,,,,,1.73%
12/20/2023,247.14,256.41,259.84,247,124.13M,-3.92%,1.70%,0.00%,-3.92%,,,,,1.70%
12/19/2023,257.22,253.48,258.34,253.01,106.29M,2.04%,1.70%,2.04%,0.00%,,,,,1.70%
12/18/2023,252.08,253.78,258.74,251.36,116.42M,-0.56%,1.66%,0.00%,-0.56%,,,,,1.66%
12/15/2023,253.5,251.21,254.13,248.3,135.93M,0.98%,1.65%,0.98%,0.00%,,,,,1.65%
12/14/2023,251.05,241.22,253.88,240.79,160.12M,4.91%,1.62%,4.91%,0.00%,,,,,1.62%
12/13/2023,239.29,234.19,240.3,228.2,145.29M,0.96%,1.61%,0.96%,0.00%,,,,,1.61%
12/12/2023,237.01,238.55,238.99,233.87,94.92M,-1.14%,1.57%,0.00%,-1.14%,,,,,1.57%
12/11/2023,239.74,242.74,243.44,237.45,97.62M,-1.68%,1.56%,0.00%,-1.68%,,,,,1.56%
12/8/2023,243.84,240.27,245.27,239.27,103.13M,0.49%,1.52%,0.49%,0.00%,,,,,1.52%
12/7/2023,242.64,241.55,244.08,236.98,106.73M,1.37%,1.47%,1.37%,0.00%,,,,,1.47%
12/6/2023,239.37,242.92,246.57,239.17,126.44M,0.27%,1.43%,0.27%,0.00%,,,,,1.43%
12/5/2023,238.72,233.87,246.66,233.7,137.40M,1.33%,1.39%,1.33%,0.00%,,,,,1.39%
12/4/2023,235.58,235.75,239.37,233.29,103.81M,-1.36%,1.38%,0.00%,-1.36%,,,,,1.38%
12/1/2023,238.83,233.14,240.19,231.9,121.33M,-0.52%,1.37%,0.00%,-0.52%,,,,,1.37%
11/30/2023,240.08,245.14,245.22,236.91,129.35M,-1.66%,1.36%,0.00%,-1.66%,,,,,1.36%
11/29/2023,244.14,249.21,252.75,242.76,134.65M,-1.05%,1.34%,0.00%,-1.05%,,,,,1.34%
11/28/2023,246.72,236.68,247,234.01,147.24M,4.51%,1.33%,4.51%,0.00%,,,,,1.33%
11/27/2023,236.08,236.89,238.33,232.1,111.51M,0.27%,1.33%,0.27%,0.00%,,,,,1.33%
11/24/2023,235.45,233.75,238.75,232.33,65.03M,0.53%,1.30%,0.53%,0.00%,,,,,1.30%
11/22/2023,234.21,242.04,244.01,231.4,118.12M,-2.90%,1.28%,0.00%,-2.90%,,,,,1.28%
11/21/2023,241.2,235.04,243.62,233.34,122.29M,2.38%,1.25%,2.38%,0.00%,,,,,1.25%
11/20/2023,235.6,234.04,237.1,231.02,116.56M,0.55%,1.25%,0.55%,0.00%,,,,,1.25%
11/17/2023,234.3,232,237.39,226.54,142.77M,0.30%,1.24%,0.30%,0.00%,,,,,1.24%
11/16/2023,233.59,239.49,240.88,230.96,135.46M,-3.81%,1.22%,0.00%,-3.81%,,,,,1.22%
11/15/2023,242.84,239.29,246.7,236.45,149.64M,2.29%,1.20%,2.29%,0.00%,,,,,1.20%
11/14/2023,237.41,235.03,238.13,230.72,147.56M,6.12%,1.16%,6.12%,0.00%,,,,,1.16%
11/13/2023,223.71,215.6,225.4,211.61,138.76M,4.22%,1.12%,4.22%,0.00%,,,,,1.12%
11/10/2023,214.65,210.03,215.38,205.69,131.31M,2.22%,1.10%,2.22%,0.00%,,,,,1.10%
11/9/2023,209.98,219.75,220.8,206.68,141.30M,-5.46%,1.06%,0.00%,-5.46%,,,,,1.06%
11/8/2023,222.11,223.15,224.15,217.64,105.60M,-0.03%,1.05%,0.00%,-0.03%,,,,,1.05%
11/7/2023,222.18,219.98,223.12,215.72,116.02M,1.33%,1.05%,1.33%,0.00%,,,,,1.05%
11/6/2023,219.27,223.98,226.32,215,116.55M,-0.31%,1.05%,0.00%,-0.31%,,,,,1.05%
11/3/2023,219.96,221.15,226.37,218.4,119.54M,0.66%,1.02%,0.66%,0.00%,,,,,1.02%
11/2/2023,218.51,212.97,219.2,211.45,124.39M,6.25%,1.02%,6.25%,0.00%,,,,,1.02%
11/1/2023,205.66,204.04,205.99,197.85,121.66M,2.40%,0.98%,2.40%,0.00%,,,,,0.98%
10/31/2023,200.84,196.12,202.8,194.07,117.59M,1.76%,0.96%,1.76%,0.00%,,,,,0.96%
10/30/2023,197.36,209.28,210.88,194.67,135.52M,-4.79%,0.95%,0.00%,-4.79%,,,,,0.95%
10/27/2023,207.3,210.6,212.41,205.77,94.88M,0.75%,0.91%,0.75%,0.00%,,,,,0.91%
10/26/2023,205.76,211.32,214.8,204.88,113.83M,-3.14%,0.86%,0.00%,-3.14%,,,,,0.86%
10/25/2023,212.42,215.88,220.1,212.2,105.41M,-1.89%,0.86%,0.00%,-1.89%,,,,,0.86%
